sp1.sp2.sp3,(21.2115172365225-0.908825178979702),(16.1176679041209-0.16636812202052),(17.6237250226184-0.274849031544091),(15.3481965205081-0.128729395024251),(14.9869613040358-0.114125731725999),(17.5114762016034-0.26475523103965),(19.8029860097569-0.568295963532443),(22.5715939070143-1.43011715175048),(24.1362734399499-2.40925161484329),(21.231380838529-0.91486259808015)
sp1.sp2.sp3.sp4,(26.4045286394271-0.79546722069472),(30.1876753663426-2.04819937920835),(26.5994228650151-0.835184921497057),(19.9694306287269-0.159199017743885),(22.3764349783614-0.290587931812271),(26.5672711218675-0.82849868249203),(25.5638257501281-0.644679900004613),(30.3143338934317-2.11409249561935),(25.2318958317845-0.593342265383655),(19.4333115959144-0.139229740500554)
sp1.sp2.sp3.sp4.sp5,(35.3049839364055-1.54754259149173),(24.504401998552-0.178449763735149),(35.4486022462305-1.59263818229247),(37.7300179215205-2.51349710821245),(29.6064957364214-0.495083237735313),(36.9993889016869-2.17178464894844),(29.0055881488662-0.439019730382715),(31.0876992845423-0.66578484567453),(24.9224762469344-0.194012386011903),(33.2068970374431-1.01719705076963)
sp1.sp2.sp3.sp4.sp5.sp6,(41.3568903435728-1.50788170894567),(38.7558248174621-0.977452928383767),(40.5717640934095-1.3229332563249),(28.9276875708641-0.189981609171961),(19.0012118897631-0.0363253064434676),(34.7093370499951-0.497967845432648),(42.9908785088331-1.979881734859),(41.5404339760762-1.55472141667908),(40.9596987274974-1.41129429290128),(37.7754201809156-0.830102635019668)
sp1.sp2.sp3.sp4.sp5.sp6.sp7,(45.094201167789-1.06975449823834),(43.6766864691981-0.873652201773366),(42.3797016462048-0.72589021021487),(46.2601821656408-1.26364177067861),(44.080398196629-0.925519739574805),(38.9448412658558-0.444390855345838),(33.6354883160967-0.208143030442006),(38.5763542721498-0.42160273281451),(46.0498275504404-1.22623340638324),(44.7334648441895-1.01602241109949)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8,(54.1525492933446-1.61848524980989),(39.5167818510791-0.259764400822262),(50.5121555860286-1.02679414192415),(51.2955060481816-1.13242378621767),(47.4105756794446-0.696800597218484),(53.3647688818654-1.46670467708108),(51.6214419611216-1.17951372150536),(56.1572879377235-2.0794074923572),(47.3043982910665-0.687613624285687),(51.4022161146259-1.14763009503182)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9,(52.4933145494243-0.683408746012264),(52.2922314659211-0.668308940706032),(55.9209122360618-1.00018205865356),(56.9308244508238-1.11895418241708),(58.2933699070794-1.30185269957217),(46.1483405422629-0.337679089894098),(61.3316066376938-1.82461731205771),(50.3022559391212-0.535736360169439),(56.1560239529066-1.02665461056965),(44.2359016458464-0.273035759991086)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10,(63.4572724209157-1.21983945056267),(59.1271638085253-0.791131077769633),(54.4859579352497-0.497374404879611),(56.5869216601268-0.613659051474777),(58.1177898129614-0.715174261621646),(54.6455841414037-0.505377516584378),(59.9486781544763-0.858867878134152),(55.342230862984-0.541839781879652),(68.4624147490017-2.01220962609968),(62.894368658476-1.15307104192584)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11,(63.8166930931513-0.752468210073969),(68.3201897144966-1.13316236769151),(73.4481751930861-1.80614139631095),(68.2839687171413-1.12943716317042),(66.7799800222901-0.985105234433132),(63.3720287856119-0.722657015246232),(71.3803162287507-1.49661450548199),(61.306038366426-0.598913660157653),(62.9269155145421-0.693998550901657),(67.466973751021-1.04859080834275)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12,(72.4179556487265-1.0068747595194),(72.1034076879724-0.980825138129694),(72.7955186701818-1.03905824815067),(69.759462638909-0.806791604665687),(74.9914995223986-1.24771414275521),(75.5805750308669-1.31049226165763),(77.3531890669558-1.51910393599653),(75.2775875400639-1.27781786690301),(65.1238909772616-0.548269956739509),(77.3531021230388-1.5190929263704)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13,(76.245815449386-0.898815719807965),(74.7740645522854-0.802607993341206),(73.3900651882207-0.721552350165288),(78.7265887621349-1.08779368205829),(69.5842608230309-0.538426381024205),(77.0489406828691-0.956094674020344),(88.0182672238623-2.22308522774053),(73.9241008308252-0.751810717450702),(67.3641937511548-0.45389975490473),(72.7752308012296-0.688220977925383)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13.sp14,(83.5871245767539-1.05599081383269),(91.483824767243-1.85619655625077),(74.7557344978253-0.561954675298951),(84.9773420754177-1.16623516841845),(79.4996275245637-0.788609055435744),(79.3724601469114-0.781478255829484),(78.8011389578602-0.750229124716252),(83.2029386719753-1.02740648619047),(78.3405268560839-0.725947571727438),(70.1513034867738-0.404452102245938)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13.sp14.sp15,(86.4760585367662-0.909610030895045),(88.2987946080536-1.02713814095882),(91.1826391931786-1.24487202896132),(87.7164053172057-0.988022790119377),(83.5101254308638-0.746418986633647),(83.4753045842461-0.744688266940422),(77.7805997509301-0.509443402680516),(85.0812949729371-0.828843808487539),(87.3231927332316-0.962459111863809),(82.1889291016861-0.683486801678416)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13.sp14.sp15.sp16,(78.8883719909852-0.418313308365048),(86.935571621756-0.691719585887995),(91.447208377223-0.917046253746062),(93.5823077207225-1.04796098403953),(91.97437299072-0.947764182456591),(96.1030771123965-1.22678196630307),(96.4247543794768-1.25169577925988),(91.1849217463226-0.902135753151359),(95.5748916009853-1.18694512914896),(94.0821682464101-1.08121745179149)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13.sp14.sp15.sp16.sp17,(91.335172256828-0.691483532598801),(102.068909820661-1.30015096371048),(93.513721264301-0.786025541518936),(86.5238341163294-0.521036189477807),(93.6055855998009-0.790284551253171),(101.997758991109-1.29472076892966),(100.381053130812-1.17726589453682),(88.402178859173-0.581906831467034),(90.6107030495257-0.662634457923927),(90.1454056406715-0.644743832528513)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13.sp14.sp15.sp16.sp17.sp18,(102.691285678485-1.02860407659508),(102.571848597545-1.02180147681764),(107.395171129264-1.33579902856069),(99.6281478321781-0.867645809697617),(96.3870018733827-0.724672556922639),(107.603900191403-1.35137916778241),(100.362374514622-0.903769142460902),(100.666837430206-0.919186028812155),(100.953147480129-0.933923634655251),(103.391946554156-1.06943259166048)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13.sp14.sp15.sp16.sp17.sp18.sp19,(101.348908187386-0.762236585459649),(104.857844138256-0.916844441421691),(110.320632964955-1.22225532158181),(103.665731317452-0.861086561447701),(97.8224532642707-0.633116283395652),(98.9482734057166-0.671764485358189),(103.08504429598-0.835167730703589),(108.207900660377-1.09362876307483),(87.4722362435944-0.367199707746937),(107.03175091387-1.02798306208982)
sp1.sp2.sp3.sp4.sp5.sp6.sp7.sp8.sp9.sp10.sp11.sp12.sp13.sp14.sp15.sp16.sp17.sp18.sp19.sp20,(97.7241821760615-0.52859157811317),(108.703770283014-0.915248377429479),(120.856438747866-1.68047020911039),(109.53644261313-0.954157814892437),(92.4265970463195-0.405587588198349),(105.80824105209-0.791887246111013),(102.489930816498-0.670821818137144),(108.210287294804-0.892941734175927),(112.333464506646-1.09737934774836),(105.725369839222-0.788612815165228)
